index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-08-04,2190.04,2223.33,2186.92,2224.07,17409740300.0,140089000000.0,0.017401705850400004,2194.9240000000013,2104.9785,2062.5978333333314,2191.6892327945134,2125.291909537518,2081.078467445534
sh000001,2014-08-01,2194.17,2185.3,2184.64,2218.79,19147504200.0,151884000000.0,-0.00738521104561,2185.848000000001,2096.8085,2059.0613333333317,2175.86884919177,2114.9721105414674,2076.2563669006895
sh000001,2014-07-31,2179.54,2201.56,2173.9,2202.13,16469165400.0,132438000000.0,0.009315330754070001,2174.110000000001,2090.5125,2056.227499999998,2171.153273787655,2107.5691748089903,2072.5599609115357
sh000001,2014-07-30,2178.18,2181.24,2177.24,2194.57,18492218700.0,149567000000.0,-0.00089272954463,2154.810000000001,2083.5960000000005,2053.036166666665,2155.9499106814824,2097.6754037362525,2068.1870639851863
sh000001,2014-07-29,2179.83,2183.19,2172.1,2193.52,20026425700.0,159282000000.0,0.00240777098443,2134.260000000001,2077.505,2050.482833333331,2143.3048660222235,2088.8791304453316,2064.3547481618725
sh000001,2014-07-28,2135.25,2177.95,2135.25,2181.5,23618575200.0,180414000000.0,0.024138842309900002,2112.7180000000008,2070.8645,2047.885499999998,2123.362299033335,2078.9516704922085,2060.3264205125765
sh000001,2014-07-25,2108.71,2126.61,2106.71,2127.22,14249582600.0,111412000000.0,0.010238178257899999,2088.0240000000003,2064.3835000000004,2045.358999999998,2096.068448550003,2068.5307937019147,2056.3391661746496
sh000001,2014-07-24,2079.63,2105.06,2079.63,2107.95,16567699600.0,128678000000.0,0.0127847681657,2074.5160000000005,2059.8785000000003,2043.5878333333314,2080.7976728250037,2062.4171930389584,2053.957095144196
sh000001,2014-07-23,2074.2,2078.49,2072.23,2088.19,13729221100.0,106702000000.0,0.0014493025953999999,2064.6220000000003,2056.5595000000003,2041.8949999999982,2068.666509237505,2057.9284765167436,2052.224786617848
sh000001,2014-07-22,2050.5,2075.48,2049.82,2078.09,12319186800.0,98702436643.0,0.0102225430389,2062.3800000000006,2053.9100000000008,2041.1954999999982,2063.754763856258,2055.76410562377,2051.3344368588196
sh000001,2014-07-21,2057.77,2054.48,2049.18,2061.82,9385787000.0,75706180211.0,-0.00222819364304,2061.3560000000007,2051.8325000000004,2040.8879999999983,2057.8921457843862,2053.688748321009,2050.515939825833
sh000001,2014-07-18,2047.5,2059.07,2046.0,2067.23,10664109400.0,82510264416.0,0.0016909978687400001,2063.790000000001,2050.327,2041.1029999999985,2059.598218676579,2053.6054586705886,2050.381564333133
